BLD_DESC_RV_MODEL,cluster,emb_x,emb_y,BLD_AGE_GRP,DEMO_EDUCATION,GENERATION_GRP,DEMO_GENDER1,BLD_HOBBY1_GRP,DEMO_INCOME,BLD_LIFESTAGE,DEMO_LOCATION,DEMO_MARITAL,DEMO_EMPLOY,ADMARK_STATE,BLD_CHILDREN,DEMO_EMPTY_NESTER
Wrangler,2,2.108654461,-0.38596851,12,16,4,1,1,20,6,2,1,22,42,0,1
Wrangler,2,0.624600143,-1.416418316,6,16,1,2,NA,11,NA,NA,NA,NA,32,NA,NA
Wrangler,2,-3.985105461,-3.324264509,7,16,2,2,1,14,5,3,1,5,4,0,2
Wrangler,2,1.439961844,-1.045714347,11,12,4,1,NA,13,NA,NA,NA,NA,37,NA,NA
Wrangler,2,0.802983499,-2.465775647,9,16,2,1,4,13,5,1,1,7,34,0,2
Wrangler,2,1.072828681,-1.92056969,9,16,2,1,8,29,5,3,1,14,37,0,2
Wrangler,2,0.497438745,-1.8040612,11,13,4,2,NA,20,NA,NA,NA,NA,19,NA,NA
Wrangler,2,-4.281599018,-3.533725025,12,15,4,1,NA,13,NA,NA,NA,NA,39,NA,NA
Wrangler,1,-2.743434077,9.297892368,11,13,4,2,NA,20,NA,NA,NA,NA,18,NA,NA
Wrangler,2,2.314011584,1.017017185,13,16,4,1,NA,10,10,3,3,22,32,0,1
Wrangler,2,-3.66334127,-3.368530513,12,16,4,2,7,20,6,2,1,22,46,0,1
Wrangler,2,-3.648838284,-3.521292575,8,11,2,1,7,28,5,4,1,3,36,0,1
Wrangler,2,2.340441461,1.595220866,7,13,2,1,NA,28,NA,NA,NA,NA,12,NA,NA
Wrangler,2,1.563581801,0.369550838,13,11,4,1,1,20,10,2,3,22,45,0,1
Wrangler,1,-2.749497114,9.26841182,NA,11,NA,1,3,16,NA,3,2,4,14,NA,2
Wrangler,2,1.256107289,0.374175418,6,13,1,2,3,25,9,4,3,5,16,0,2
Wrangler,1,-2.855311885,9.068183105,8,13,2,1,NA,14,5,2,1,3,27,0,2
Wrangler,2,0.543261825,-1.935366095,13,13,4,1,NA,26,7,3,3,22,34,5,2
Wrangler,2,-4.064485849,-3.575107739,11,13,3,1,NA,20,NA,NA,NA,NA,37,NA,NA
Wrangler,2,-2.899482473,-3.524191592,11,12,4,2,NA,30,NA,NA,NA,NA,20,NA,NA
Wrangler,2,-3.168463578,-3.576416516,9,13,2,1,NA,16,NA,NA,NA,NA,9,NA,NA
Wrangler,2,-3.083196165,-3.072745604,9,13,2,1,3,16,10,1,3,22,37,0,2
Wrangler,2,2.293257125,1.561479522,6,13,1,2,NA,27,NA,NA,NA,NA,41,NA,NA
Wrangler,2,-4.227792562,-3.581664409,11,15,4,1,2,30,6,4,1,22,34,0,1
Wrangler,2,-3.962853632,-3.568005173,3,13,6,2,NA,16,NA,NA,NA,NA,4,NA,NA
Wrangler,2,0.976990357,0.047812934,10,16,3,1,1,14,6,2,1,22,24,0,1
Wrangler,2,2.333207277,1.231600661,12,12,4,1,7,20,6,3,1,22,20,0,1
Wrangler,2,0.656931605,-1.93256077,6,15,1,1,3,20,1,2,1,14,39,3,2
Wrangler,2,-3.801630978,-3.504984555,10,15,3,1,9,NA,6,3,1,22,2,0,1
Wrangler,2,0.491713066,-2.108598627,13,11,4,1,1,33,1,2,1,22,9,4,2
Wrangler,2,-4.010879869,-3.655617562,10,14,2,1,7,14,6,4,1,9,9,0,2
Wrangler,2,0.425910648,-2.161320781,8,13,2,1,NA,12,10,2,3,7,12,0,1
