"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"F-150",3,1.13070809352285,-1.08201369128666,8,16,2,1,NA,27,5,3,1,23,48,0,2,1,19,10,10,10,NA,10,1,10,38,216620,1,2,2,3,3,3,4,2,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,4,3,2,1,3
"F-150",3,-0.576742482742124,0.840946399047989,12,15,4,1,7,13,6,4,1,22,14,0,1,NA,39,20000,20000,842,NA,60,1,84000,33,NA,6,1,2,3,3,3,2,1,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,3,3,3,2
"F-150",3,1.46432667288509,-1.16105866512831,12,13,4,1,NA,29,6,3,1,5,35,0,1,1,NA,NA,23000,NA,NA,NA,NA,71000,33,NA,NA,1,1,4,4,3,3,1,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,3,2,1,3
"F-150",3,-0.812494611826053,-0.204406998467025,7,15,2,1,7,31,2,2,1,3,42,1,2,NA,39,20000,NA,800,NA,72,1,80000,47,NA,32,2,4,3,3,3,3,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,2,1,3,3
"F-150",3,-0.643323180391603,0.781371963298267,11,15,4,1,NA,16,NA,NA,NA,NA,17,NA,NA,NA,19,NA,14000,1975,NA,36,1,85000,47,NA,NA,1,3,3,3,3,2,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,2,2
"F-150",3,-0.340906918192049,-1.11519752801136,8,14,2,1,NA,13,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150 Lightning EV",3,0.939717690331132,0.295768038964209,7,15,1,1,1,16,2,3,1,1,14,1,2,1,19,NA,NA,NA,NA,72,1,50000,12,NA,24,1,4,3,3,4,2,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,2,4,2,4
"F-150",3,1.14292886638573,-0.900517799640448,9,11,2,1,NA,14,NA,NA,NA,NA,9,NA,NA,2,NA,NA,NA,850,36,NA,1,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,3.40051326653587,1.63345479060052,10,16,2,1,6,14,6,3,1,23,14,0,2,1,19,20000,42000,500,NA,36,1,87000,23,NA,33,1,2,4,4,4,4,3,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,4,1,3
"F-150",1,-10.7068252389705,2.33079517193212,12,16,4,1,1,29,3,2,1,22,19,2,2,1,29,20000,NA,1300,NA,48,1,75000,11,NA,31,2,3,3,4,3,3,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,2,3,1,4
